iter	Passed	Remaining
0	59	59278
1	59	29744
2	59	19892
3	60	14965
4	60	12038
5	60	10071
6	61	8662
7	61	7605
8	61	6778
9	61	6118
10	62	5584
11	62	5139
12	62	4763
13	63	4438
14	63	4158
15	63	3912
16	63	3695
17	64	3499
18	64	3324
19	64	3175
20	65	3033
21	65	2904
22	65	2785
23	65	2676
24	66	2577
25	66	2487
26	66	2402
27	66	2324
28	67	2251
29	67	2181
30	67	2117
31	68	2057
32	68	1999
33	68	1945
34	68	1894
35	68	1846
36	69	1802
37	69	1759
38	69	1718
39	70	1680
40	70	1643
41	70	1608
42	70	1574
43	71	1544
44	71	1513
45	71	1484
46	71	1455
47	72	1428
48	72	1402
49	72	1377
50	72	1353
51	72	1329
52	73	1307
53	73	1286
54	73	1265
55	73	1246
56	74	1227
57	74	1208
58	74	1190
59	74	1173
60	75	1157
61	75	1141
62	75	1126
63	75	1110
64	76	1096
65	76	1082
66	76	1069
67	77	1056
68	77	1042
69	77	1030
70	77	1017
71	78	1006
72	78	994
73	78	983
74	78	971
75	79	961
76	79	951
77	79	940
78	79	930
79	80	920
80	80	911
81	80	902
82	80	892
83	81	883
84	81	874
85	81	866
86	81	858
87	82	850
88	82	842
89	82	834
90	82	826
91	82	819
92	83	811
93	83	804
94	83	797
95	83	790
96	84	783
97	84	776
98	84	770
99	84	764
100	85	758
101	85	752
102	85	746
103	85	740
104	86	734
105	86	729
106	86	724
107	87	718
108	87	713
109	87	708
110	87	702
111	88	697
112	88	692
113	88	687
114	88	682
115	88	677
116	89	672
117	89	668
118	89	663
119	89	658
120	90	654
121	90	649
122	90	645
123	90	641
124	91	637
125	91	633
126	91	628
127	91	624
128	91	620
129	92	616
130	92	612
131	92	609
132	92	605
133	93	602
134	93	600
135	94	597
136	94	596
137	95	593
138	95	590
139	95	587
140	96	585
141	96	581
142	96	577
143	96	574
144	96	571
145	97	568
146	97	565
147	97	562
148	97	559
149	98	555
150	98	552
151	98	549
152	98	546
153	99	543
154	99	541
155	99	538
156	99	535
157	99	532
158	100	530
159	100	527
160	100	523
161	100	521
162	101	518
163	101	516
164	101	513
165	101	511
166	102	508
167	102	506
168	102	504
169	102	502
170	103	500
171	103	498
172	103	495
173	104	494
174	104	492
175	104	491
176	105	488
177	105	486
178	105	485
179	106	483
180	106	480
181	106	478
182	106	476
183	107	474
184	107	472
185	107	470
186	107	468
187	108	466
188	108	464
189	108	462
190	108	460
191	109	458
192	109	457
193	109	455
194	109	453
195	110	451
196	110	449
197	110	447
198	110	445
199	110	443
200	111	441
201	111	440
202	111	438
203	111	436
204	112	434
205	112	433
206	112	431
207	112	429
208	113	428
209	113	426
210	113	424
211	113	423
212	114	421
213	114	420
214	114	418
215	114	416
216	115	415
217	115	413
218	115	412
219	115	410
220	116	408
221	116	407
222	116	405
223	116	404
224	116	402
225	117	401
226	117	400
227	118	399
228	118	398
229	118	397
230	118	396
231	119	394
232	119	393
233	119	392
234	120	391
235	120	389
236	120	388
237	120	387
238	121	386
239	121	384
240	121	383
241	121	381
242	122	380
243	122	379
244	122	378
245	122	376
246	123	375
247	123	374
248	123	373
249	123	371
250	124	370
251	124	369
252	124	368
253	124	366
254	125	365
255	125	364
256	125	363
257	125	361
